Section,English,Kurdish,Arabic,Where
"app/admin",") : user.role === 'driver' && !user.is_approved ? (","","","app/admin/users/user-list.tsx"
"app/admin","+ Add category","","","app/admin/categories/category-manager.tsx"
"app/admin","Add a zone","","","app/admin/zones/zone-manager.tsx"
"app/admin","Admin","","","app/admin/admin-sidebar.tsx"
"app/admin","Admin Dashboard","","","app/admin/page.tsx"
"app/admin","Approve","","","app/admin/shops/shop-list.tsx | app/admin/users/user-list.tsx"
"app/admin","Approved Shops","","","app/admin/shops/page.tsx"
"app/admin","Arabic name","","","app/admin/categories/category-manager.tsx"
"app/admin","bazaar","","","app/admin/admin-sidebar.tsx | app/cart/page.tsx | app/components/customer-nav.tsx | app/components/driver-nav.tsx | app/favorites/page.tsx | app/login/page.tsx | app/orders/[id]/page.tsx | app/page.tsx | app/profile/page.tsx | app/s/[slug]/page.tsx | app/shop/onboarding/onboarding-wizard.tsx | app/shop/sidebar.tsx | app/signup/page.tsx"
"app/admin","Bazaar Amedi marketplace overview","","","app/admin/page.tsx"
"app/admin","Delivery zones","","","app/admin/zones/page.tsx"
"app/admin","Driver cash","","","app/admin/cash/page.tsx"
"app/admin","Edit","","","app/admin/zones/zone-manager.tsx"
"app/admin","English name","","","app/admin/categories/category-manager.tsx"
"app/admin","Kurdish name","","","app/admin/categories/category-manager.tsx"
"app/admin","Manage product categories for the marketplace.","","","app/admin/categories/page.tsx"
"app/admin","Mark paid","","","app/admin/payouts/payout-list.tsx"
"app/admin","Mark remitted","","","app/admin/cash/cash-list.tsx"
"app/admin","New banner","","","app/admin/banners/banner-manager.tsx"
"app/admin","New category","","","app/admin/categories/category-manager.tsx"
"app/admin","No categories yet.","","","app/admin/categories/category-manager.tsx"
"app/admin","No outstanding cash. All drivers are settled up.","","","app/admin/cash/cash-list.tsx"
"app/admin","No pending payout requests.","","","app/admin/payouts/payout-list.tsx"
"app/admin","No shops to display.","","","app/admin/shops/shop-list.tsx"
"app/admin","Payout requests","","","app/admin/payouts/page.tsx"
"app/admin","Pending Approval","","","app/admin/shops/page.tsx"
"app/admin","Promo banner","","","app/admin/banners/page.tsx"
"app/admin","Review now","","","app/admin/page.tsx"
"app/admin","Revoke","","","app/admin/shops/shop-list.tsx"
"app/admin","Schedule a popup offer for shoppers. The most recent active banner within its date window is shown; customers can dismiss it.","","","app/admin/banners/page.tsx"
"app/admin","Set a delivery fee, minimum order, and free-delivery threshold per area. Customers pick their zone when saving an address.","","","app/admin/zones/page.tsx"
"app/admin","Super admin","","","app/admin/admin-sidebar.tsx"
"app/admin","Suspend","","","app/admin/users/user-list.tsx"
"app/admin","Unsuspend","","","app/admin/users/user-list.tsx"
"app/browse","Browse Amedi&apos;s Markets","","","app/browse/page.tsx"
"app/browse","SALE","","","app/browse/page.tsx | app/s/[slug]/page.tsx"
"app/cart","Browse markets","","","app/cart/page.tsx | app/favorites/page.tsx | app/orders/order-list.tsx"
"app/cart","Cash on delivery","","","app/cart/page.tsx | app/orders/[id]/page.tsx"
"app/cart","Continue shopping","","","app/cart/page.tsx"
"app/cart","No delivery fee. We&apos;ll tell you when it&apos;s ready to collect.","","","app/cart/page.tsx"
"app/cart","Order placed!","","","app/cart/page.tsx"
"app/cart","Order summary","","","app/cart/page.tsx"
"app/cart","Pickup","","","app/cart/page.tsx | app/shop/(dashboard)/orders/shop-order-list.tsx"
