Section,English,Kurdish (fill in),Where seen
"shop",Welcome back,,"/shop"
"shop",Managing Ragir Market,,"/shop — DYNAMIC prefix ""Managing"" only"
"shop",Approved,,"/shop status card"
"shop",Open,,"/shop status card"
"shop",View my storefront,,"floating button on every /shop/* page"
"shop",products in your catalog,,"/shop/products header"
"shop","+ Add product",,"/shop/products"
"shop","📦 Stock:",,"/shop/products stock chip"
"shop",Unlimited,,"/shop/products stock chip"
"shop",per,,"/shop/products (as in ""per kg / per piece"")"
"shop",Out,,"/shop/products stock toggle label"
"shop",In stock,,"/shop/products stock toggle label"
"shop",piece,,"/shop/products unit label"
"shop","active ·",,"/shop/orders header prefix"
"shop",past,,"/shop/orders count suffix"
"shop",new,,"/shop/orders tab"
"shop",orders,,"/shop/orders header"
"shop",New orders will show up here as soon as they are placed.,,"/shop/orders empty state"
"shop","+ New flash sale",,"/shop/flash-sales button"
"shop",Expired,,"/shop/flash-sales status chip"
"shop","e.g. AMEDI10",,"/shop/coupons placeholder"
"shop","0 = no minimum",,"/shop/coupons hint"
"shop",from 6 products,,"/shop/analytics stat card (only ""from"" and ""products"" need translation)"
"shop",No reviews yet,,"/shop/analytics"
"shop",sold,,"/shop/analytics top-products suffix"
"shop",From delivered orders. The platform commission is,,"/shop/earnings blurb"
"shop",Commission (10%),,"/shop/earnings card"
"shop",Available:,,"/shop/earnings label"
"shop",. Paid out so far:,,"/shop/earnings label"
"shop",Request payout,,"/shop/earnings button"
"shop",Update your shop details,,"/shop/settings header"
"shop",Recommended: 1200 × 400,,"/shop/settings hint"
"shop","Square, 400 × 400",,"/shop/settings hint"
"shop",Fresh Produce,,"/shop/settings + browse — category name"
"shop",Snacks & Drinks,,"/shop/settings + browse — category name"
"shop",Save settings,,"/shop/settings button"
"shop","e.g. Ahmad's Grocery",,"/shop/settings placeholder"
"shop","Near Amedi bazaar, main street",,"/shop/settings placeholder"
"shop","e.g. Sulava, Qadishaye",,"/shop/settings placeholder"
"shop",Shop Owner,,"/profile role label"
"shop",Save changes,,"/profile button"
"shop","e.g. Ashkawt, Darband",,"/profile placeholder"
"driver",Go online to start receiving orders,,"/driver hero copy"
"driver",Not receiving orders or notifications,,"/driver offline blurb"
"driver",COD collected from,,"/driver/earnings blurb"
"driver",order,,"/driver/earnings singular suffix"
"driver","deliver",,"/driver/earnings stat card"
"driver",ies,,"/driver/earnings stat card (broken split of ""deliveries"" — needs single dictionary entry)"
"driver","Order #",,"/driver/earnings row prefix"
"driver",Home,,"/driver/earnings address label"
"driver","— delivered",,"/driver/earnings row suffix"
"customer",Fresh Produce,,"/browse category chip (dup with shop settings)"
"customer",Snacks & Drinks,,"/browse category chip (dup)"
"customer",piece,,"/browse unit label (dup)"
"customer","+ Add",,"/browse product card"
"customer","open now ·",,"/shops shop card"
"customer",total,,"/shops header count"
"customer",Open,,"/shops shop card"
"customer","Order #",,"/orders row prefix"
"customer",Markets,,"/ landing nav"
"customer",Deliver with us,,"/ landing nav"
"customer",Shop from every,,"/ landing hero (first half of split headline)"
"customer",in Amedi.,,"/ landing hero (second half of split headline)"
"customer",min,,"/ landing hero stat (as in ""15 min"")"
"customer","2h 14m left",,"/ landing flash-sale demo (mock data OK to skip)"
"customer",Real-time price drops from local shops,,"/ landing feature bullet"
"customer",Push notifications when deals go live,,"/ landing feature bullet"
"customer",Countdown timer — grab it before it ends,,"/ landing feature bullet"
"customer","Delivery Route — Order #1047",,"/ landing driver-flow demo"
"customer",3 items,,"/ landing driver-flow demo"
"customer",1 item,,"/ landing driver-flow demo"
"customer",Picking up...,,"/ landing driver-flow demo"
"customer",2 items,,"/ landing driver-flow demo"
"customer",Next stop,,"/ landing driver-flow demo"
"customer",ETA 12 min,,"/ landing driver-flow demo"
"customer",Shop smarter,,"/ landing benefits column heading"
"customer",Compare prices across shops,,"/ landing benefit bullet"
"customer","One cart, multi-shop orders",,"/ landing benefit bullet"
"customer",Real-time delivery tracking,,"/ landing benefit bullet"
"customer",Flash sale notifications,,"/ landing benefit bullet"
"customer",Grow your reach,,"/ landing benefits column heading"
"customer",Your own shop page,,"/ landing benefit bullet"
"customer",Easy product management,,"/ landing benefit bullet"
"customer",Flash sale tools,,"/ landing benefit bullet"
"customer",Order & earnings dashboard,,"/ landing benefit bullet"
"customer",Earn locally,,"/ landing benefits column heading"
"customer",Multi-shop pickup routes,,"/ landing benefit bullet"
"customer",Flexible schedule,,"/ landing benefit bullet"
"customer",Earnings dashboard,,"/ landing benefit bullet"
"customer",Short delivery distances,,"/ landing benefit bullet"
"customer",Start delivering,,"/ landing CTA"
